number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_std,state
36,0.895167721511559,2026-09-18 20:30:10.745532,2026-09-18 20:30:11.530572,0 days 00:00:00.785040,0.5936578140893747,0.6475208685013041,0.32497054915318213,0.030537051019513962,4,6,0.9435785891947519,150,0.0004213301311599569,0.19795648428437124,0.7846111374924253,0.03240652619591109,COMPLETE
37,0.8780031236804768,2026-09-18 20:30:11.531009,2026-09-18 20:30:12.076943,0 days 00:00:00.545934,0.4305257864489755,0.4273965733885092,0.26877235644812736,0.0964829570800969,0,6,0.6733372659730504,600,0.07741807798668462,10.851606486002852,0.6823922939024593,,PRUNED
38,0.9062780370474524,2026-09-18 20:30:12.077177,2026-09-18 20:30:14.180607,0 days 00:00:02.103430,0.7082532708137167,0.613370954775235,0.030992013358716087,0.03772254089364369,0,5,0.6321284234974578,800,1.789055815067213,1.0374002579249626,0.9470117963423127,0.026394551353733378,COMPLETE
39,0.8998122372246842,2026-09-18 20:30:14.180904,2026-09-18 20:30:17.528015,0 days 00:00:03.347111,0.6943725055492107,0.547208729556507,0.08072277528061948,0.011872303323322524,3,6,1.0942491542085564,750,2.1226062931818235,0.08619943556645496,0.9066023480452676,0.03110377140806218,COMPLETE
40,0.899464311423924,2026-09-18 20:30:17.529514,2026-09-18 20:30:20.851217,0 days 00:00:03.321703,0.9637644714654559,0.6317155125561327,0.05922593637543309,0.044906409172426054,2,7,1.2445158787389738,900,4.37848806120948,9.700805783612564,0.9613056325212405,0.025487145905899056,COMPLETE
41,0.9067730362450656,2026-09-18 20:30:20.851701,2026-09-18 20:30:23.837832,0 days 00:00:02.986131,0.6062075714982038,0.7350283487031644,0.0017953931203072006,0.020367349116012345,3,5,0.7952827373699476,750,3.146520104517,3.9776327989799003,0.9844142842264532,0.02473056817754853,COMPLETE
42,0.9083340685247132,2026-09-18 20:30:23.838136,2026-09-18 20:30:26.546601,0 days 00:00:02.708465,0.6458340582782924,0.8315532882591016,0.0010672552068105106,0.014981794636540329,4,5,1.0217452421403082,600,0.482950289876399,0.3140458119394017,0.9908360392726713,0.026210238256214425,COMPLETE
43,0.9121121471256913,2026-09-18 20:30:26.547081,2026-09-18 20:30:30.093613,0 days 00:00:03.546532,0.7695406857579621,0.8341570658560111,0.0005604925950734723,0.011112661905159714,5,4,1.0874024387124446,850,3.562563472783927,1.2607218959802593,0.9064578915681574,0.02129452561505422,COMPLETE
44,0.9098889197284497,2026-09-18 20:30:30.094139,2026-09-18 20:30:32.813599,0 days 00:00:02.719460,0.7771230585599671,0.9804357665640019,0.00016035827009211503,0.010372755002124574,5,3,4.182355288888046,900,0.5357517090370709,1.546955935847511,0.9387038641169729,0.02101959618144807,COMPLETE
45,0.9042251526144321,2026-09-18 20:30:32.814151,2026-09-18 20:30:34.610031,0 days 00:00:01.795880,0.8235066284379312,0.8513959953188247,0.0003697196278597963,0.021807542507857405,5,2,4.670336714629728,900,6.150202709849566,1.5085289655666556,0.9729308489676574,0.025211959135267952,COMPLETE
