MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score
DURAI VAIKO,C S R CONSTRUCTION,10.53,False,False,False,False,0
Shri Kapil Sibal (2022-28),J R Group,33.99,False,False,False,False,0
IMRAN MASOOD,AHTESHAM CONTRACTOR,20.68,False,False,False,False,0
KOTA SRINIVAS POOJARY,KRIDL BHUSIRI ACCOUNT WORKS,8.72,False,False,False,True,3
MANNA LAL RAWAT,SHREE RAM ENTERPRISES,17.5,False,False,False,False,0
Rajnath Singh,DEVKI ENTERPRISES,22.55,False,False,False,False,0
KARTICK CHANDRA PAUL,B PAUL AND CO,93.18,True,False,False,False,1
RAMASAHAYAM RAGHURAM REDDY,ANUDEEP REDDY YARRAPU,13.27,False,False,False,False,0
Shri Janardan Singh Sigriwal ,Lokbharti Prakashan,25.41,False,False,False,False,0
MUKESHKUMAR CHANDRAKAANT DALAL,Nutra Marketing,14.01,False,False,False,False,0
SAYANI GHOSH,JAYANTA ELECTRIC AND CO,14.22,False,False,False,False,0
DR C N MANJUNATH,PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA,48.44,False,False,False,False,0
Shri R. Dharmar (2022-28),LUCKY ASSOCIATES,36.43,False,False,False,False,0
Dr. K. Laxman (2022-28),Unnati construction,30.19,False,False,False,False,0
Khalilur Rahaman ,MAJIBUR RAHAMAN,41.04,False,False,False,False,0
Manickam Tagore B,Sathess kumar,7.54,False,False,False,False,0
Pradyut Bordoloi,PRITOM TRIBEDI,13.01,False,False,False,False,0
Smt Harsimrat Kaur Badal,Sham Lal Gurpta,3.04,False,False,False,False,0
BAIJAYANT PANDA,ABANI KUMAR MOHANTY,12.95,False,False,False,False,0
Shyamkumar,GRAMPANCHAYAT LOHDONGRI,23.11,False,False,False,False,0
Shri LS Tejasvi Surya ,Raju Bhargav R,26.64,False,False,False,False,0
HARIBHAI PATEL,AMICHANDBHAI PATEL GROUP SERVICES,5.43,False,False,False,False,0
Lavu Sri Krishna Devarayalu,ASHOK CONSTRUCTIONS,66.59,False,False,False,False,0
Nityanand Rai,DARVESHWAR NATH CONSTRUCTION,59.36,False,False,False,False,0
Bidyut Baran Mahato,KANHAIYA KUMAR SINGH,48.51,False,False,False,False,0
UJJWAL RAMAN SINGH,MS VIDYARTHI CONSTRUCTION,28.47,False,False,False,False,0
Smt Sandhya Ray,MP STATE AGRO INDUSTRIES DEV CORP LTD,66.0,False,False,False,False,0
Y S Avinash Reddy,KCR CONSTRUCTIONS KADAPA,7.99,False,False,False,False,0
Maddila Gurumoorthy,Thallapaka Nagarjuna Reddy,13.75,False,False,False,False,0
Shankar Lalwani,SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,56.63,False,False,False,False,0
