MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Rajiv Ranjan (Lalan) Singh,MUNGER,Bihar,Lok Sabha,147000000.0,1000000.0,0.0,0.68,0,1,0.0,1000000.0,0,0,0,
CHAVAN VASANTRAO BALWANTRAO,NANDED,Maharashtra,Lok Sabha,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
HARISH CHANDRA MEENA,TONK-SAWAI MADHOPUR,Rajasthan,Lok Sabha,147000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
MISHA BHARTI,PATALIPUTRA,Bihar,Lok Sabha,147000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
NARESH GANPAT MHASKE,THANE,Maharashtra,Lok Sabha,147000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Sanjay Jaiswal,PASCHIM CHAMPARAN,Bihar,Lok Sabha,147000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Dr. Alka Singh (2026-32),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Dr. Anbumani Ramadoss (2026-32),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,49356476.5,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Dr. Jyoti Nagnath Waghmare (2026-32),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Dr. M. Thambi Durai (2026-32),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,49356476.5,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Dr. Mukeshbhai J. Rathwa (2026-32),Sitting Rajya Sabha,Gujarat,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Dr. Satish Poonia (2026-32),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Anurag Sharma (2026-32),Sitting Rajya Sabha,Himachal Pradesh,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Baidyanath Ram (2026-32),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Christopher Manickam (2026-32),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,49356476.5,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Constandine Ravindran (2026-32),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,49356476.5,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Gurwinder Singh Oberoi (2025-31),Sitting Rajya Sabha,Jammu And Kashmir,Rajya Sabha,73500000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri James Pangsang Kongkal Sangma (2026-32),Sitting Rajya Sabha,Meghalaya,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Karamvir Singh Singh Boudh (2026-32),Sitting Rajya Sabha,Haryana,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Khiangte Laltluangkima (2026-32),Sitting Rajya Sabha,Mizoram,Rajya Sabha,24500000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri L. K. Sudhish (2026-32),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,49356476.5,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri M. Nagaraja (2026-32),Sitting Rajya Sabha,Karnataka,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Mahesh Kewat (2026-32),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,49000000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
Shri Mallikarjun Kharge (2026-32),Sitting Rajya Sabha,Karnataka,Rajya Sabha,49063957.11,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,
